n,k,m,res,time
15,3,1,0.097109738,31607.16229
15,5,1,0.007954151,40139.76182
16,3,1,0.100294507,31127.63896
16,5,1,0.008215011,38428.51822
17,3,1,0.103381211,31420.13664
17,5,1,0.00846784,40083.97925
18,3,1,0.106378389,30925.28774
18,5,1,0.008713335,39133.09008
19,3,1,0.109293405,31445.46016
19,5,1,0.008952101,39229.44735
20,3,1,0.112132667,30534.14721
20,5,1,0.009184662,38206.43121
21,3,1,0.114901792,31708.3514
21,5,1,0.009411478,39354.63916
22,3,1,0.117605734,33097.81073
22,5,1,0.009632955,37441.26218
